input_tax_code,input_wages,input_period,input_year,input_is_pension_age,expected_country,expected_yearly_ni_employee,expected_yearly_ni_employer,expected_yearly_income_tax,expected_yearly_total_deduction,expected_yearly_take_home,expected_yearly_wages,expected_yearly_tax_free_amount,expected_yearly_k_code_adjustment,expected_is_k_code
NT,20000,YEARLY,2020,FALSE,NONE,1260,1547.26,0,1260,18740,20000,0,,FALSE
1250L,43000,YEARLY,2020,FALSE,ENGLAND,4020,4721.26,6098.2,10118.2,32881.8,43000,12509,,FALSE
1250L,43000,YEARLY,2020,TRUE,ENGLAND,0,0,6098.2,6098.2,36901.8,43000,12509,,FALSE
980L,75500,YEARLY,2020,FALSE,ENGLAND,5370,9206.26,18778.2,24148.2,51351.8,75500,9809,,FALSE
1500M,43000,YEARLY,2020,FALSE,ENGLAND,4020,4721.26,5598.2,9618.2,33381.8,43000,15009,,FALSE
1000N,43000,YEARLY,2020,FALSE,ENGLAND,4020,4721.26,6598.2,10618.2,32381.8,43000,10009,,FALSE
1250 W1,20000,YEARLY,2020,FALSE,ENGLAND,1260,1547.26,1498.2,2758.2,17241.8,20000,12509,,FALSE
1250 M1,20000,YEARLY,2020,FALSE,ENGLAND,1260,1547.26,1498.2,2758.2,17241.8,20000,12509,,FALSE
1250 X,20000,YEARLY,2020,FALSE,ENGLAND,1260,1547.26,1498.2,2758.2,17241.8,20000,12509,,FALSE
1250L X,20000,YEARLY,2020,FALSE,ENGLAND,1260,1547.26,1498.2,2758.2,17241.8,20000,12509,,FALSE
1250L,119000,YEARLY,2020,FALSE,ENGLAND,6240,15209.26,35098.2,41338.2,77661.8,119000,12509,,FALSE
K100,45000,YEARLY,2020,FALSE,ENGLAND,4260,4997.26,10905.4,15165.4,29834.6,45000,0,1009,TRUE
0T,60000,YEARLY,2020,FALSE,ENGLAND,5060,7067.26,16500.0,21560.48,38438.2,60000,0,,FALSE
BR,10000,YEARLY,2020,FALSE,ENGLAND,60,167.26,2000,2060,7940,10000,0,,FALSE
D0,12000,YEARLY,2020,FALSE,ENGLAND,300,443.26,4800,5100,6900,12000,0,,FALSE
D1,12000,YEARLY,2020,FALSE,ENGLAND,300,443.26,5400,5700,6300,12000,0,,FALSE
C1250L,43000,YEARLY,2020,FALSE,WALES,4020,4721.26,6098.2,10118.2,32881.8,43000,12509,,FALSE
C980L,75500,YEARLY,2020,FALSE,WALES,5370,9206.26,18778.2,24148.2,51351.8,75500,9809,,FALSE
C1250L,119000,YEARLY,2020,FALSE,WALES,6240,15209.26,35098.2,41338.2,77661.8,119000,12509,,FALSE
C1500M,43000,YEARLY,2020,FALSE,WALES,4020,4721.26,5598.2,9618.2,33381.8,43000,15009,,FALSE
C1000N,43000,YEARLY,2020,FALSE,WALES,4020,4721.26,6598.2,10618.2,32381.8,43000,10009,,FALSE
C1250 W1,20000,YEARLY,2020,FALSE,WALES,1260,1547.26,1498.2,2758.2,17241.8,20000,12509,,FALSE
C1250 M1,20000,YEARLY,2020,FALSE,WALES,1260,1547.26,1498.2,2758.2,17241.8,20000,12509,,FALSE
C1250 X,20000,YEARLY,2020,FALSE,WALES,1260,1547.26,1498.2,2758.2,17241.8,20000,12509,,FALSE
C1250L X,20000,YEARLY,2020,FALSE,WALES,1260,1547.26,1498.2,2758.2,17241.8,20000,12509,,FALSE
CK100,45000,YEARLY,2020,FALSE,WALES,4260,4997.26,10905.4,15165.4,29834.6,45000,0,1009,TRUE
C0T,60000,YEARLY,2020,FALSE,WALES,5060,7067.26,16501.8,21561.8,38438.2,60000,0,,FALSE
CBR,10000,YEARLY,2020,FALSE,WALES,60,167.26,2000,2060,7940,10000,0,,FALSE
CD0,12000,YEARLY,2020,FALSE,WALES,300,443.26,4800,5100,6900,12000,0,,FALSE
CD1,12000,YEARLY,2020,FALSE,WALES,300,443.26,5400,5700,6300,12000,0,,FALSE
S1250L,43000,YEARLY,2020,FALSE,SCOTLAND,4020,4721.26,6255.86,10275.86,32724.14,43000,12509,,FALSE
S980L,75500,YEARLY,2020,FALSE,SCOTLAND,5370,9206.26,20601.86,25971.86,49528.14,75500,9809,,FALSE
S1375M,20000,YEARLY,2020,FALSE,SCOTLAND,1260,1547.26,1227.44,2487.44,17512.56,20000,13759,,FALSE
S1125N,10000,YEARLY,2020,FALSE,SCOTLAND,60,167.26,0,60,9940,10000,11259,,FALSE
S1250 W1,20000,YEARLY,2020,FALSE,SCOTLAND,1260,1547.26,1477.44,2737.44,17262.56,20000,12509,,FALSE
S1250 M1,20000,YEARLY,2020,FALSE,SCOTLAND,1260,1547.26,1477.44,2737.44,17262.56,20000,12509,,FALSE
S1250 X,20000,YEARLY,2020,FALSE,SCOTLAND,1260,1547.26,1477.44,2737.44,17262.56,20000,12509,,FALSE
S1250 L X,20000,YEARLY,2020,FALSE,SCOTLAND,1260,1547.26,1477.44,2737.44,17262.56,20000,12509,,FALSE
SK100,20000,YEARLY,2020,FALSE,SCOTLAND,1260,1547.26,4264.64,5524.64,14475.36,20000,0,1009,TRUE
S0T,60000,YEARLY,2020,FALSE,SCOTLAND,5060,7067.26,18268.55,23328.55,36671.45,60000,0,,FALSE
SBR,10000,YEARLY,2020,FALSE,SCOTLAND,60,167.26,2000,2060,7940,10000,0,,FALSE
SD0,12000,YEARLY,2020,FALSE,SCOTLAND,300,443.26,2520,2820,9180,12000,0,,FALSE
SD1,12000,YEARLY,2020,FALSE,SCOTLAND,300,443.26,4920,5220,6780,12000,0,,FALSE
SD2,12000,YEARLY,2020,FALSE,SCOTLAND,300,443.26,5520,5820,6180,12000,0,,FALSE
