,input_wages,input_period,input_year,input_is_pension_age,expected_country,expected_yearly_ni_employee,expected_yearly_ni_employer,expected_yearly_income_tax,expected_yearly_total_deduction,expected_yearly_take_home,expected_yearly_wages,expected_yearly_tax_free_amount,expected_yearly_k_code_adjustment,expected_is_k_code
1257L,20000,YEARLY,TWENTY_TWENTY_TWO_NOVEMBER_REVISED,FALSE,ENGLAND,891.60,1504.2,1484.2,2375.8,17624.2,20000,12570,,FALSE
1257L,40000,YEARLY,TWENTY_TWENTY_TWO_NOVEMBER_REVISED,FALSE,ENGLAND,3291.6,4264.20,5484.2,8775.8,31224.2,40000,12570,,FALSE
1257L,60000,YEARLY,TWENTY_TWENTY_TWO_NOVEMBER_REVISED,FALSE,ENGLAND,4718.6,7024.2,11428.4,16147,43853,60000,12570,,FALSE
1257L,80000,YEARLY,TWENTY_TWENTY_TWO_NOVEMBER_REVISED,FALSE,ENGLAND,5118.6,9784.2,19428.4,24547,55453,80000,12570,,FALSE
1257L,100000,YEARLY,TWENTY_TWENTY_TWO_NOVEMBER_REVISED,FALSE,ENGLAND,5518.60,12544.20,27428.40,32947.00,67053,100000,12570,,FALSE
C1257L,20000,YEARLY,TWENTY_TWENTY_TWO_NOVEMBER_REVISED,FALSE,WALES,891.60,1504.2,1484.2,2375.8,17624.2,20000,12570,,FALSE
C1257L,40000,YEARLY,TWENTY_TWENTY_TWO_NOVEMBER_REVISED,FALSE,WALES,3291.6,4264.20,5484.2,8775.8,31224.2,40000,12570,,FALSE
C1257L,60000,YEARLY,TWENTY_TWENTY_TWO_NOVEMBER_REVISED,FALSE,WALES,4718.6,7024.2,11428.4,16147,43853,60000,12570,,FALSE
C1257L,80000,YEARLY,TWENTY_TWENTY_TWO_NOVEMBER_REVISED,FALSE,WALES,5118.6,9784.2,19428.4,24547,55453,80000,12570,,FALSE
C1257L,100000,YEARLY,TWENTY_TWENTY_TWO_NOVEMBER_REVISED,FALSE,WALES,5518.60,12544.20,27428.40,32947.00,67053,100000,12570,,FALSE
S1257L,20000,YEARLY,TWENTY_TWENTY_TWO_NOVEMBER_REVISED,FALSE,SCOTLAND,891.60,1504.2,1462.58,2354.18,17645.82,20000,12570,,FALSE
S1257L,40000,YEARLY,TWENTY_TWENTY_TWO_NOVEMBER_REVISED,FALSE,SCOTLAND,3291.6,4264.20,5605.61,8897.21,31102.79,40000,12570,,FALSE
S1257L,60000,YEARLY,TWENTY_TWENTY_TWO_NOVEMBER_REVISED,FALSE,SCOTLAND,4718.6,7024.2,13071.41,17790.01,42209.99,60000,12570,,FALSE
S1257L,80000,YEARLY,TWENTY_TWENTY_TWO_NOVEMBER_REVISED,FALSE,SCOTLAND,5118.6,9784.2,21271.41,26390.01,53609.99,80000,12570,,FALSE
