,input_wages,input_period,input_year,input_is_pension_age,input_pension_method,input_pension_amount,input_pension_percentage,expected_country,expected_yearly_ni_employee,expected_yearly_ni_employer,expected_yearly_income_tax,expected_yearly_total_deduction,expected_yearly_take_home,expected_yearly_wages,expected_yearly_tax_free_amount,expected_yearly_k_code_adjustment,expected_is_k_code
1257L,20000,YEARLY,TWENTY_TWENTY_THREE,FALSE,PERCENTAGE,,10.0,ENGLAND,651.6,1228.2,1084.2,3735.8,16264.2,20000,12570,,FALSE
1257L,40000,YEARLY,TWENTY_TWENTY_THREE,FALSE,PERCENTAGE,,10.0,ENGLAND,2811.6,3712.20,4684.2,11495.8,28504.2,40000,12570,,FALSE
1257L,60000,YEARLY,TWENTY_TWENTY_THREE,FALSE,PERCENTAGE,,10.0,ENGLAND,4598.6,6196.2,9028.4,19627.0,40373.0,60000,12570,,FALSE
1257L,80000,YEARLY,TWENTY_TWENTY_THREE,FALSE,PERCENTAGE,,10.0,ENGLAND,4958.6,8680.2,16228.4,29187.0,50813.0,80000,12570,,FALSE
0T,130000,YEARLY,TWENTY_TWENTY_THREE,FALSE,PERCENTAGE,,10.0,ENGLAND,5858.6,14890.2,39260.0,58118.6,71881.4,130000,0,,FALSE
1257L,20000,YEARLY,TWENTY_TWENTY_THREE,FALSE,AMOUNT_IN_POUNDS,2000.0,,ENGLAND,651.6,1228.2,1084.2,3735.8,16264.2,20000,12570,,FALSE
1257L,40000,YEARLY,TWENTY_TWENTY_THREE,FALSE,AMOUNT_IN_POUNDS,4000.0,,ENGLAND,2811.6,3712.20,4684.2,11495.8,28504.2,40000,12570,,FALSE
1257L,60000,YEARLY,TWENTY_TWENTY_THREE,FALSE,AMOUNT_IN_POUNDS,6000.0,,ENGLAND,4598.6,6196.2,9028.4,19627.0,40373.0,60000,12570,,FALSE
1257L,80000,YEARLY,TWENTY_TWENTY_THREE,FALSE,AMOUNT_IN_POUNDS,8000.0,,ENGLAND,4958.6,8680.2,16228.4,29187.0,50813.0,80000,12570,,FALSE
0T,130000,YEARLY,TWENTY_TWENTY_THREE,FALSE,AMOUNT_IN_POUNDS,13000.0,,ENGLAND,5858.6,14890.2,39260.0,58118.6,71881.4,130000,0,,FALSE
