,input_wages,input_period,input_year,input_is_pension_age,input_has_plan_one,input_has_plan_two,input_has_plan_four,input_has_postgraduate_plan,expected_country,expected_yearly_ni_employee,expected_yearly_ni_employer,expected_yearly_income_tax,expected_yearly_total_deduction,expected_yearly_take_home,expected_yearly_wages,expected_yearly_tax_free_amount,expected_yearly_k_code_adjustment,expected_is_k_code
1257L,20000,YEARLY,TWENTY_TWENTY_THREE,FALSE,TRUE,FALSE,FALSE,FALSE,ENGLAND,891.6,1504.2,1484.2,2375.8,17624.2,20000,12570,,FALSE
1257L,40000,YEARLY,TWENTY_TWENTY_THREE,FALSE,TRUE,FALSE,FALSE,FALSE,ENGLAND,3291.6,4264.20,5484.2,10393.8,29606.2,40000,12570,,FALSE
1257L,60000,YEARLY,TWENTY_TWENTY_THREE,FALSE,TRUE,FALSE,FALSE,FALSE,ENGLAND,4718.6,7024.2,11428.4,19565.0,40435.0,60000,12570,,FALSE
1257L,80000,YEARLY,TWENTY_TWENTY_THREE,FALSE,TRUE,FALSE,FALSE,FALSE,ENGLAND,5118.6,9784.2,19428.4,29765.0,50235.0,80000,12570,,FALSE
0T,130000,YEARLY,TWENTY_TWENTY_THREE,FALSE,TRUE,FALSE,FALSE,FALSE,ENGLAND,6118.6,16684.2,44703.0,60539.6,69460.4,130000,0,,FALSE
1257L,20000,YEARLY,TWENTY_TWENTY_THREE,FALSE,FALSE,TRUE,FALSE,FALSE,ENGLAND,891.6,1504.2,1484.2,2375.8,17624.2,20000,12570,,FALSE
1257L,40000,YEARLY,TWENTY_TWENTY_THREE,FALSE,FALSE,TRUE,FALSE,FALSE,ENGLAND,3291.6,4264.20,5484.2,9918.8,30081.2,40000,12570,,FALSE
1257L,60000,YEARLY,TWENTY_TWENTY_THREE,FALSE,FALSE,TRUE,FALSE,FALSE,ENGLAND,4718.6,7024.2,11428.4,19090.0,40910.0,60000,12570,,FALSE
1257L,80000,YEARLY,TWENTY_TWENTY_THREE,FALSE,FALSE,TRUE,FALSE,FALSE,ENGLAND,5118.6,9784.2,19428.4,29290.0,50710.0,80000,12570,,FALSE
0T,130000,YEARLY,TWENTY_TWENTY_THREE,FALSE,FALSE,TRUE,FALSE,FALSE,ENGLAND,6118.6,16684.2,44703.0,60064.6,69935.4,130000,0,,FALSE
1257L,20000,YEARLY,TWENTY_TWENTY_THREE,FALSE,FALSE,FALSE,TRUE,FALSE,ENGLAND,891.6,1504.2,1484.2,2375.8,17624.2,20000,12570,,FALSE
1257L,40000,YEARLY,TWENTY_TWENTY_THREE,FALSE,FALSE,FALSE,TRUE,FALSE,ENGLAND,3291.6,4264.20,5484.2,9885.8,30114.2,40000,12570,,FALSE
1257L,60000,YEARLY,TWENTY_TWENTY_THREE,FALSE,FALSE,FALSE,TRUE,FALSE,ENGLAND,4718.6,7024.2,11428.4,19057.0,40943.0,60000,12570,,FALSE
1257L,80000,YEARLY,TWENTY_TWENTY_THREE,FALSE,FALSE,FALSE,TRUE,FALSE,ENGLAND,5118.6,9784.2,19428.4,29257.0,50743.0,80000,12570,,FALSE
0T,130000,YEARLY,TWENTY_TWENTY_THREE,FALSE,FALSE,FALSE,TRUE,FALSE,ENGLAND,6118.6,16684.2,44703.0,60031.6,69968.4,130000,0,,FALSE
1257L,20000,YEARLY,TWENTY_TWENTY_THREE,FALSE,FALSE,FALSE,FALSE,TRUE,ENGLAND,891.6,1504.2,1484.2,2375.8,17624.2,20000,12570,,FALSE
1257L,40000,YEARLY,TWENTY_TWENTY_THREE,FALSE,FALSE,FALSE,FALSE,TRUE,ENGLAND,3291.6,4264.20,5484.2,9915.8,30084.2,40000,12570,,FALSE
1257L,60000,YEARLY,TWENTY_TWENTY_THREE,FALSE,FALSE,FALSE,FALSE,TRUE,ENGLAND,4718.6,7024.2,11428.4,18487.0,41513.0,60000,12570,,FALSE
1257L,80000,YEARLY,TWENTY_TWENTY_THREE,FALSE,FALSE,FALSE,FALSE,TRUE,ENGLAND,5118.6,9784.2,19428.4,28087.0,51913.0,80000,12570,,FALSE
0T,130000,YEARLY,TWENTY_TWENTY_THREE,FALSE,FALSE,FALSE,FALSE,TRUE,ENGLAND,6118.6,16684.2,44703.0,57361.6,72638.4,130000,0,,FALSE
