,input_wages,input_period,input_year,input_is_pension_age,expected_country,expected_yearly_ni_employee,expected_yearly_ni_employer,expected_yearly_income_tax,expected_yearly_total_deduction,expected_yearly_take_home,expected_yearly_wages,expected_yearly_tax_free_amount,expected_yearly_k_code_adjustment,expected_is_k_code
1257L,20000,YEARLY,TWENTY_TWENTY_FIVE,FALSE,ENGLAND,594.4,1504.2,1484.2,2078.6,17921.4,20000,12570,,FALSE
1257L,40000,YEARLY,TWENTY_TWENTY_FIVE,FALSE,ENGLAND,2194.4,4264.2,5484.2,7678.6,32321.4,40000,12570,,FALSE
1257L,60000,YEARLY,TWENTY_TWENTY_FIVE,FALSE,ENGLAND,3210.6,7024.2,11428.4,14639,45361,60000,12570,,FALSE
1257L,80000,YEARLY,TWENTY_TWENTY_FIVE,FALSE,ENGLAND,3610.6,9784.2,19428.4,23039,56961,80000,12570,,FALSE
1257L,150000,YEARLY,TWENTY_TWENTY_FIVE,FALSE,ENGLAND,5010.6,19444.2,48042.45,53053.05,96946.95,150000,12570,,FALSE
C1257L,20000,YEARLY,TWENTY_TWENTY_FIVE,FALSE,WALES,594.4,1504.2,1484.2,2078.6,17921.4,20000,12570,,FALSE
C1257L,40000,YEARLY,TWENTY_TWENTY_FIVE,FALSE,WALES,2194.4,4264.2,5484.2,7678.6,32321.4,40000,12570,,FALSE
C1257L,60000,YEARLY,TWENTY_TWENTY_FIVE,FALSE,WALES,3210.6,7024.2,11428.4,14639,45361,60000,12570,,FALSE
C1257L,80000,YEARLY,TWENTY_TWENTY_FIVE,FALSE,WALES,3610.6,9784.2,19428.4,23039,56961,80000,12570,,FALSE
C1257L,150000,YEARLY,TWENTY_TWENTY_FIVE,FALSE,WALES,5010.6,19444.2,48042.45,53053.05,96946.95,150000,12570,,FALSE
S1257L,20000,YEARLY,TWENTY_TWENTY_FIVE,FALSE,SCOTLAND,594.4,1504.2,1455.93,2050.33,17949.67,20000,12570,,FALSE
S1257L,40000,YEARLY,TWENTY_TWENTY_FIVE,FALSE,SCOTLAND,2194.4,4264.2,5580.93,7775.33,32224.67,40000,12570,,FALSE
S1257L,60000,YEARLY,TWENTY_TWENTY_FIVE,FALSE,SCOTLAND,3210.6,7024.2,13210.02,16420.62,43579.38,60000,12570,,FALSE
S1257L,80000,YEARLY,TWENTY_TWENTY_FIVE,FALSE,SCOTLAND,3610.6,9784.2,21759.75,25370.35,54629.65,80000,12570,,FALSE
S1257L,150000,YEARLY,TWENTY_TWENTY_FIVE,FALSE,SCOTLAND,5010.6,19444.2,53628.18,58638.78,91361.22,150000,12570,,FALSE
