input_wages, input_has_plan_one,input_has_plan_two,input_has_plan_four,input_has_postgraduate_plan, expected_yearly_student_loan, expected_monthly_student_loan, expected_four_weekly_student_loan, expected_weekly_student_loan, expected_yearly_postgraduate_loan, expected_monthly_postgraduate_loan, expected_four_weekly_postgraduate_loan, expected_weekly_postgraduate_loan
25123.32,TRUE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0
25123.44,TRUE,FALSE,FALSE,FALSE,12,1,0,0,0,0,0,0
25124.64,TRUE,FALSE,FALSE,FALSE,12,1,0,0,0,0,0,0
25523.40,TRUE,FALSE,FALSE,FALSE,48,4,3,0,0,0,0,0
30991.32,TRUE,FALSE,FALSE,FALSE,540,45,41,10,0,0,0,0
57256.68,TRUE,FALSE,FALSE,FALSE,2904,242,223,55,0,0,0,0
101123.40,TRUE,FALSE,FALSE,FALSE,6852,571,527,131,0,0,0,0

27428.28,FALSE,TRUE,FALSE,FALSE,0,0,0,0,0,0,0,0
27428.40,FALSE,TRUE,FALSE,FALSE,12,1,0,0,0,0,0,0
27429.60,FALSE,TRUE,FALSE,FALSE,12,1,0,0,0,0,0,0
27828.36,FALSE,TRUE,FALSE,FALSE,48,4,3,0,0,0,0,0
33296.28,FALSE,TRUE,FALSE,FALSE,540,45,41,10,0,0,0,0
59561.64,FALSE,TRUE,FALSE,FALSE,2904,242,223,55,0,0,0,0
103428.36,FALSE,TRUE,FALSE,FALSE,6852,571,527,131,0,0,0,0

31528.32,FALSE,FALSE,TRUE,FALSE,0,0,0,0,0,0,0,0
31528.44,FALSE,FALSE,TRUE,FALSE,12,1,0,0,0,0,0,0
31529.64,FALSE,FALSE,TRUE,FALSE,12,1,0,0,0,0,0,0
31928.40,FALSE,FALSE,TRUE,FALSE,48,4,3,0,0,0,0,0
37396.32,FALSE,FALSE,TRUE,FALSE,540,45,41,10,0,0,0,0
63661.68,FALSE,FALSE,TRUE,FALSE,2904,242,223,55,0,0,0,0
107528.40,FALSE,FALSE,TRUE,FALSE,6852,571,527,131,0,0,0,0

21199.92,FALSE,FALSE,FALSE,TRUE,0,0,0,0,0,0,0,0
21200.04,FALSE,FALSE,FALSE,TRUE,0,0,0,0,12,1,0,0
21201.96,FALSE,FALSE,FALSE,TRUE,0,0,0,0,12,1,0,0
21800.04,FALSE,FALSE,FALSE,TRUE,0,0,0,0,48,4,3,0
30001.92,FALSE,FALSE,FALSE,TRUE,0,0,0,0,540,45,41,10
69400.08,FALSE,FALSE,FALSE,TRUE,0,0,0,0,2904,242,223,55
135200.04,FALSE,FALSE,FALSE,TRUE,0,0,0,0,6852,571,527,131
