input_wages, input_has_plan_one,input_has_plan_two,input_has_plan_four,input_has_plan_five, input_is_weekly, input_is_four_weekly, input_is_monthly, expected_weekly_student_loan, expected_four_weekly_student_loan, expected_monthly_student_loan
528.41,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,0,0
528.42,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,0,0
528.52,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,0,0
661.75,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,13,0,0
1783.97,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,114,0,0
2106.29,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,143,0,0
2080.34,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0
2080.35,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,1,0
2080.45,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,1,0
2158.12,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,8,0
4035.9,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,177,0
8447.01,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,574,0
2252.77,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,0
2252.78,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,1
2252.88,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,1
2286.11,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,4
2741.77,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,45
4930.55,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,242
8586.11,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,571
576.2,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0,0,0
576.21,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,0,0
576.31,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,0,0
709.54,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,13,0,0
