input_wages, input_has_plan_one,input_has_plan_two,input_has_plan_four,input_has_plan_five,input_has_postgraduate_plan, expected_yearly_student_loan, expected_monthly_student_loan, expected_four_weekly_student_loan, expected_weekly_student_loan, expected_yearly_postgraduate_loan, expected_monthly_postgraduate_loan, expected_four_weekly_postgraduate_loan, expected_weekly_postgraduate_loan
27033.24,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0
27033.36,TRUE,FALSE,FALSE,FALSE,FALSE,12,1,0,0,0,0,0,0
27034.56,TRUE,FALSE,FALSE,FALSE,FALSE,12,1,0,0,0,0,0,0
27433.32,TRUE,FALSE,FALSE,FALSE,FALSE,48,4,3,0,0,0,0,0
32901.24,TRUE,FALSE,FALSE,FALSE,FALSE,540,45,41,10,0,0,0,0
59166.72,TRUE,FALSE,FALSE,FALSE,FALSE,2904,242,223,55,0,0,0,0
103033.32,TRUE,FALSE,FALSE,FALSE,FALSE,6852,571,527,131,0,0,0,0
29518.32,FALSE,TRUE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0
29518.44,FALSE,TRUE,FALSE,FALSE,FALSE,12,1,0,0,0,0,0,0
29519.64,FALSE,TRUE,FALSE,FALSE,FALSE,12,1,0,0,0,0,0,0
29918.4,FALSE,TRUE,FALSE,FALSE,FALSE,48,4,3,0,0,0,0,0
35386.32,FALSE,TRUE,FALSE,FALSE,FALSE,540,45,41,10,0,0,0,0
61651.68,FALSE,TRUE,FALSE,FALSE,FALSE,2904,242,223,55,0,0,0,0
105518.4,FALSE,TRUE,FALSE,FALSE,FALSE,6852,571,527,131,0,0,0,0
33928.32,FALSE,FALSE,TRUE,FALSE,FALSE,0,0,0,0,0,0,0,0
33928.44,FALSE,FALSE,TRUE,FALSE,FALSE,12,1,0,0,0,0,0,0
33929.64,FALSE,FALSE,TRUE,FALSE,FALSE,12,1,0,0,0,0,0,0
34328.4,FALSE,FALSE,TRUE,FALSE,FALSE,48,4,3,0,0,0,0,0
39796.32,FALSE,FALSE,TRUE,FALSE,FALSE,540,45,41,10,0,0,0,0
66061.68,FALSE,FALSE,TRUE,FALSE,FALSE,2904,242,223,55,0,0,0,0
109928.4,FALSE,FALSE,TRUE,FALSE,FALSE,6852,571,527,131,0,0,0,0
21199.92,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,0,0,0,0,0,0
21200.04,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,0,0,12,1,0,0
21201.96,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,0,0,12,1,0,0
21800.04,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,0,0,48,4,3,0
30001.92,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,0,0,540,45,41,10
69400.08,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,0,0,2904,242,223,55
135200.04,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,0,0,6852,571,527,131
25133.28,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0,0,0,0,0,0
25133.4,FALSE,FALSE,FALSE,TRUE,FALSE,12,1,0,0,0,0,0,0
25134.6,FALSE,FALSE,FALSE,TRUE,FALSE,12,1,0,0,0,0,0,0
25533.36,FALSE,FALSE,FALSE,TRUE,FALSE,48,4,3,0,0,0,0,0
31001.28,FALSE,FALSE,FALSE,TRUE,FALSE,540,45,41,10,0,0,0,0
57266.64,FALSE,FALSE,FALSE,TRUE,FALSE,2904,242,223,55,0,0,0,0
101133.36,FALSE,FALSE,FALSE,TRUE,FALSE,6852,571,527,131,0,0,0,0
